iter	RMSE
179	2.454212298
180	2.452556627
181	2.451983961
182	2.451660741
183	2.451532681
184	2.450581643
185	2.448878005
186	2.4487448
187	2.447130957
188	2.446544815
189	2.443326687
190	2.442832011
191	2.44141236
192	2.440160697
193	2.439826447
194	2.439496905
195	2.438630015
196	2.437155585
197	2.43467288
198	2.432677886
199	2.431906405
200	2.429094153
201	2.428740557
202	2.427522007
203	2.426639909
204	2.425681424
205	2.424400078
206	2.423304549
207	2.422654794
208	2.419707724
209	2.418368168
210	2.417960371
211	2.417933345
212	2.417042041
213	2.416694031
214	2.416383145
215	2.414292257
216	2.414170594
217	2.411906769
218	2.41102799
219	2.409805762
220	2.409519559
221	2.408562339
222	2.407842656
223	2.406621896
224	2.406575053
225	2.406386325
226	2.405959173
227	2.405157193
228	2.405113675
229	2.403949061
230	2.402457638
231	2.402082763
232	2.401631088
233	2.400893972
234	2.399769418
235	2.39854915
236	2.397851229
237	2.397527781
238	2.397440879
239	2.396659281
240	2.396621306
241	2.395042027
242	2.394382362
243	2.39423458
244	2.39379874
245	2.392253604
246	2.391322994
247	2.390851632
248	2.389297372
249	2.389269048
250	2.389138419
251	2.389060445
252	2.38715024
253	2.386701257
254	2.385485879
255	2.384150791
256	2.384113918
257	2.383152317
258	2.383128149
259	2.382897283
260	2.381911384
261	2.381513828
262	2.380398627
263	2.380295866
264	2.379435131
265	2.379158271
266	2.377975605
267	2.377953075
268	2.377535011
269	2.377385953
270	2.375110205
271	2.375045694
272	2.37377528
273	2.371787157
274	2.37049154
275	2.370460186
276	2.370221723
277	2.369809306
278	2.369674659
279	2.368301667
280	2.366806207
281	2.366600726
282	2.36418751
283	2.361619895
284	2.361482445
285	2.361362097
286	2.360960553
287	2.360428996
288	2.359722608
289	2.358997668
290	2.358563781
291	2.357691972
292	2.357195932
293	2.356671732
294	2.354644961
295	2.354609075
296	2.351929952
297	2.350979085
298	2.348764876
299	2.348331399
300	2.348292076
301	2.348239425
302	2.344838726
303	2.344500542
304	2.343910769
305	2.343706423
306	2.341419328
307	2.34049397
308	2.340314977
309	2.339296712
310	2.338291288
311	2.338261438
312	2.336717298
313	2.336383569
314	2.336357901
315	2.335912723
316	2.335054274
317	2.334444484
318	2.33287366
319	2.332322299
320	2.331834714
321	2.330505202
322	2.329872982
323	2.32905886
324	2.328773898
325	2.328057385
326	2.327850166
327	2.327489537
328	2.32728756
329	2.326107284
330	2.32569629
331	2.325674643
332	2.323217534
333	2.323105751
334	2.322145389
335	2.3218181
336	2.321405704
337	2.321202975
338	2.321094916
339	2.320101969
340	2.319496354
341	2.3189383
342	2.317570013
343	2.316836968
344	2.31581707
345	2.314692617
346	2.313575374
347	2.311251656
348	2.310658824
349	2.310077162
350	2.309592106
351	2.309374074
352	2.307578767
353	2.307034935
354	2.306937241
355	2.306807365
356	2.305866227
357	2.304988355
358	2.302980406
359	2.302453086
360	2.301434497
361	2.298675711
362	2.298211174
363	2.297677726
364	2.29649476
365	2.296097359
366	2.295202553
367	2.295061206
368	2.293778128
369	2.293336669
370	2.292956012
371	2.292275419
372	2.292230192
373	2.2908714
374	2.290245264
375	2.29004943
376	2.289003046
377	2.288216338
378	2.287132755
379	2.286483074
380	2.285664312
381	2.284695756
382	2.284435049
383	2.284166321
384	2.28320753
385	2.283148766
386	2.280965051
387	2.280438166
388	2.279797956
389	2.278390869
390	2.278276062
391	2.278144206
392	2.277797995
393	2.276978807
394	2.276865044
395	2.276693625
396	2.27626211
397	2.275407599
398	2.275063194
399	2.274474351
400	2.274043821
401	2.272699975
402	2.272576415
403	2.271264661
404	2.270554484
405	2.270233647
406	2.269187129
407	2.268738419
408	2.268350896
409	2.268047288
410	2.267932245
411	2.266081019
412	2.265032203
413	2.26468618
414	2.263922636
415	2.263595938
416	2.263428317
417	2.262914554
418	2.262624495
419	2.262336819
420	2.26184356
421	2.261319538
422	2.260972731
423	2.259690306
424	2.258500162
425	2.257648875
426	2.257088187
427	2.256403903
428	2.256175511
429	2.255152606
430	2.254908795
431	2.254375491
432	2.253788298
433	2.252334995
434	2.25231645
435	2.252176173
436	2.250387897
437	2.249649907
438	2.247709187
439	2.247125736
440	2.246919681
441	2.246574719
442	2.246555502
443	2.246389347
444	2.245476985
445	2.244320071
446	2.243958634
447	2.243582064
448	2.243494388
449	2.242989137
450	2.242151926
451	2.242132975
452	2.241742434
453	2.240643999
454	2.240125546
455	2.239913372
456	2.239716956
457	2.23953469
458	2.239311813
459	2.238462527
460	2.238105195
461	2.236861821
462	2.234807839
463	2.23447157
464	2.234169911
465	2.232303543
466	2.232104488
467	2.231250711
468	2.229869772
469	2.228535651
470	2.228167872
471	2.227016828
472	2.226882945
473	2.225797838
474	2.225488139
475	2.225082108
476	2.224987743
477	2.224606507
478	2.223872254
479	2.222942663
480	2.222264933
481	2.221220839
482	2.220437657
483	2.219558616
484	2.219292179
485	2.21790139
486	2.216826372
487	2.216739453
488	2.216492052
489	2.216160221
490	2.215590172
491	2.215438407
492	2.215304335
493	2.214605146
494	2.213964323
495	2.212691812
496	2.211858999
497	2.211651121
498	2.210981707
499	2.210477435
500	2.209304595
501	2.208989737
502	2.208924438
503	2.207736438
504	2.20727634
505	2.206379999
506	2.205925023
507	2.205371653
508	2.204546681
509	2.203543758
510	2.203505503
511	2.203221749
512	2.202798121
513	2.202210733
514	2.201996907
515	2.201264725
516	2.200489755
517	2.200145209
518	2.199734462
519	2.199591769
520	2.199116004
521	2.19889356
522	2.198022121
523	2.197678963
524	2.197653915
525	2.196955205
526	2.195963967
527	2.195845109
528	2.195662293
529	2.194754529
530	2.194419455
531	2.19336758
532	2.19165482
533	2.190947393
534	2.190842559
535	2.190749824
536	2.190504925
537	2.190161913
538	2.189357425
539	2.188890945
540	2.188798036
541	2.188284708
542	2.187741379
543	2.187393455
544	2.186523926
545	2.186317593
546	2.186235705
547	2.185233216
548	2.184923541
549	2.184701746
550	2.18429002
551	2.183927557
552	2.183802041
553	2.18282318
554	2.182266544
555	2.182024489
556	2.181454539
557	2.180466538
558	2.179897322
559	2.17936453
560	2.17880018
561	2.178332951
562	2.176773217
563	2.176599226
564	2.176356002
565	2.176105754
566	2.175878482
567	2.175458202
568	2.175007651
569	2.173572155
570	2.172344474
571	2.172051471
572	2.171894089
573	2.171235741
574	2.170632415
575	2.170135964
576	2.169771776
577	2.169080716
578	2.168716657
579	2.16855692
580	2.168295316
581	2.167593036
582	2.166034753
583	2.165205869
584	2.163913549
585	2.163220665
586	2.163177099
587	2.162089256
588	2.161067314
589	2.160550155
590	2.16009015
591	2.159891927
592	2.159240902
593	2.158781224
594	2.158763126
595	2.158212254
596	2.15725747
597	2.157115461
598	2.156771394
599	2.156559989
600	2.156099942
601	2.155805147
602	2.155451622
603	2.155359519
604	2.154740066
605	2.154571042
606	2.154214765
607	2.153725982
608	2.153508887
609	2.153013233
610	2.152428826
611	2.152024464
612	2.151736668
613	2.151343823
614	2.150847247
615	2.150093774
616	2.149687779
617	2.149475759
618	2.149360229
619	2.148801905
620	2.148666179
621	2.148542145
622	2.148271842
623	2.148090684
624	2.14758024
625	2.147220742
626	2.146621891
627	2.145853794
628	2.145368044
629	2.144261075
630	2.144126253
631	2.143766688
632	2.143333576
633	2.142790608
634	2.142481602
635	2.142190972
636	2.141804491
637	2.141245827
638	2.140813477
639	2.139916383
640	2.139499643
641	2.139078262
642	2.138934991
643	2.138527803
644	2.138229118
645	2.13819646
646	2.137688355
647	2.137348977
648	2.136969392
649	2.136365711
650	2.13566832
651	2.135281649
652	2.134915496
653	2.134796575
654	2.133550179
655	2.133066332
656	2.132639129
657	2.13252113
658	2.132215734
659	2.131806596
660	2.131533591
661	2.131528149
662	2.131178056
663	2.130761924
664	2.130401193
665	2.129690391
666	2.129667541
667	2.129136986
668	2.128067964
669	2.127789765
670	2.127267523
671	2.127137491
672	2.127128295
673	2.126781576
674	2.126550587
675	2.12591229
676	2.125620144
677	2.125285471
678	2.124751718
679	2.124122434
680	2.124096033
681	2.124022279
682	2.123649454
683	2.123561464
684	2.122900202
685	2.122710272
686	2.122450794
687	2.121974659
688	2.121853756
689	2.121606306
690	2.121601877
691	2.121499732
692	2.121392453
693	2.120942887
694	2.120878209
695	2.120415328
696	2.12035749
697	2.120168641
698	2.119162021
699	2.119112214
700	2.119068026
701	2.118542259
702	2.118331249
703	2.117736736
704	2.117228808
705	2.117000209
706	2.116453967
707	2.115860396
708	2.115177496
709	2.114212007
710	2.114025374
711	2.113544571
712	2.112404504
713	2.111632476
714	2.111397906
715	2.111257382
716	2.110524422
717	2.110127089
718	2.109220127
719	2.109146397
720	2.108163642
721	2.107989683
722	2.107669139
723	2.1074006
724	2.107202205
725	2.106985989
726	2.106230518
727	2.105651303
728	2.105404541
729	2.105350099
730	2.104936673
731	2.104587214
732	2.104289375
733	2.10354713
734	2.10332456
735	2.102809086
736	2.102694753
737	2.102429065
738	2.102212407
739	2.101983236
740	2.101867788
741	2.101632873
742	2.101076463
743	2.100818606
744	2.100437625
745	2.100310795
746	2.099759783
747	2.099640328
748	2.099176704
749	2.098956047
750	2.098722531
751	2.098490681
752	2.09831066
753	2.097830015
754	2.097754454
755	2.097741407
756	2.097683382
757	2.097173562
758	2.096325923
759	2.096309552
760	2.095864091
761	2.095553619
762	2.095212419
763	2.094439143
764	2.093667231
765	2.09339473
766	2.092725679
767	2.092389903
768	2.092169967
769	2.091665104
770	2.091383903
771	2.090908603
772	2.090173599
773	2.089920005
774	2.089223113
775	2.088598653
776	2.088221129
777	2.088014969
778	2.087792114
779	2.087694962
780	2.087084578
781	2.086884702
782	2.086420944
783	2.085820445
784	2.085720176
785	2.085050127
786	2.084687871
787	2.084265787
788	2.083908198
789	2.08375845
790	2.083563359
791	2.083107386
792	2.082799617
793	2.082145691
794	2.081778738
795	2.081100935
796	2.07970591
797	2.079195357
798	2.078569042
